,tradedate,tradetime,secid,rate,clearing,date
247,2022-01-20,18:44:00,CAD/RUB,61.232,vk,2022-01-20
248,2022-01-20,18:44:00,CHF/RUB,83.4799,vk,2022-01-20
249,2022-01-20,18:44:00,CNY/RUB,12.0428,vk,2022-01-20
250,2022-01-20,18:44:00,EUR/RUB,86.6051,vk,2022-01-20
251,2022-01-20,18:44:00,GBP/RUB,104.2286,vk,2022-01-20
252,2022-01-20,18:44:00,HKD/RUB,9.808,vk,2022-01-20
254,2022-01-20,18:44:00,JPY/RUB,0.66942,vk,2022-01-20
255,2022-01-20,18:44:00,TRY/RUB,5.6663,vk,2022-01-20
263,2022-01-20,18:44:00,USD/RUB,76.3624,vk,2022-01-20
266,2022-01-21,18:44:00,CAD/RUB,61.58,vk,2022-01-21
267,2022-01-21,18:44:00,CHF/RUB,84.711,vk,2022-01-21
268,2022-01-21,18:44:00,CNY/RUB,12.18,vk,2022-01-21
269,2022-01-21,18:44:00,EUR/RUB,87.602,vk,2022-01-21
270,2022-01-21,18:44:00,GBP/RUB,104.656,vk,2022-01-21
271,2022-01-21,18:44:00,HKD/RUB,9.9152,vk,2022-01-21
273,2022-01-21,18:44:00,JPY/RUB,0.67905,vk,2022-01-21
274,2022-01-21,18:44:00,TRY/RUB,5.7559,vk,2022-01-21
282,2022-01-21,18:44:00,USD/RUB,77.209,vk,2022-01-21
285,2022-01-24,18:44:00,CAD/RUB,62.4935,vk,2022-01-24
286,2022-01-24,18:44:00,CHF/RUB,86.4855,vk,2022-01-24
287,2022-01-24,18:44:00,CNY/RUB,12.4985,vk,2022-01-24
288,2022-01-24,18:44:00,EUR/RUB,89.5388,vk,2022-01-24
289,2022-01-24,18:44:00,GBP/RUB,106.5528,vk,2022-01-24
290,2022-01-24,18:44:00,HKD/RUB,10.1553,vk,2022-01-24
292,2022-01-24,18:44:00,JPY/RUB,0.69397,vk,2022-01-24
293,2022-01-24,18:44:00,TRY/RUB,5.8879,vk,2022-01-24
301,2022-01-24,18:44:00,USD/RUB,79.0668,vk,2022-01-24
304,2022-01-25,18:44:00,CAD/RUB,62.5834,vk,2022-01-25
305,2022-01-25,18:44:00,CHF/RUB,86.0671,vk,2022-01-25
306,2022-01-25,18:44:00,CNY/RUB,12.5036,vk,2022-01-25
307,2022-01-25,18:44:00,EUR/RUB,89.1873,vk,2022-01-25
308,2022-01-25,18:44:00,GBP/RUB,106.6256,vk,2022-01-25
309,2022-01-25,18:44:00,HKD/RUB,10.1585,vk,2022-01-25
311,2022-01-25,18:44:00,JPY/RUB,0.69433,vk,2022-01-25
312,2022-01-25,18:44:00,TRY/RUB,5.8664,vk,2022-01-25
320,2022-01-25,18:44:00,USD/RUB,79.0991,vk,2022-01-25
323,2022-01-26,18:44:00,CAD/RUB,63.2293,vk,2022-01-26
324,2022-01-26,18:44:00,CHF/RUB,86.6738,vk,2022-01-26
325,2022-01-26,18:44:00,CNY/RUB,12.6223,vk,2022-01-26
326,2022-01-26,18:44:00,EUR/RUB,89.9864,vk,2022-01-26
327,2022-01-26,18:44:00,GBP/RUB,107.7198,vk,2022-01-26
328,2022-01-26,18:44:00,HKD/RUB,10.2491,vk,2022-01-26
330,2022-01-26,18:44:00,JPY/RUB,0.69805,vk,2022-01-26
331,2022-01-26,18:44:00,TRY/RUB,5.9122,vk,2022-01-26
339,2022-01-26,18:44:00,USD/RUB,79.7954,vk,2022-01-26
342,2022-01-27,18:44:00,CAD/RUB,61.1896,vk,2022-01-27
343,2022-01-27,18:44:00,CHF/RUB,83.3565,vk,2022-01-27
344,2022-01-27,18:44:00,CNY/RUB,12.2129,vk,2022-01-27
345,2022-01-27,18:44:00,EUR/RUB,86.6056,vk,2022-01-27
346,2022-01-27,18:44:00,GBP/RUB,103.9845,vk,2022-01-27
347,2022-01-27,18:44:00,HKD/RUB,9.981,vk,2022-01-27
349,2022-01-27,18:44:00,JPY/RUB,0.67404,vk,2022-01-27
350,2022-01-27,18:44:00,TRY/RUB,5.7068,vk,2022-01-27
358,2022-01-27,18:44:00,USD/RUB,77.7658,vk,2022-01-27
361,2022-01-28,18:44:00,CAD/RUB,61.2382,vk,2022-01-28
362,2022-01-28,18:44:00,CHF/RUB,84.0211,vk,2022-01-28
363,2022-01-28,18:44:00,CNY/RUB,12.2992,vk,2022-01-28
364,2022-01-28,18:44:00,EUR/RUB,87.2245,vk,2022-01-28
365,2022-01-28,18:44:00,GBP/RUB,104.9029,vk,2022-01-28
366,2022-01-28,18:44:00,HKD/RUB,10.0393,vk,2022-01-28
368,2022-01-28,18:44:00,JPY/RUB,0.67874,vk,2022-01-28
369,2022-01-28,18:44:00,TRY/RUB,5.7309,vk,2022-01-28
377,2022-01-28,18:44:00,USD/RUB,78.2379,vk,2022-01-28
380,2022-01-31,18:44:00,CAD/RUB,60.8198,vk,2022-01-31
381,2022-01-31,18:44:00,CHF/RUB,83.3007,vk,2022-01-31
382,2022-01-31,18:44:00,CNY/RUB,12.1817,vk,2022-01-31
383,2022-01-31,18:44:00,EUR/RUB,86.8364,vk,2022-01-31
384,2022-01-31,18:44:00,GBP/RUB,104.186,vk,2022-01-31
385,2022-01-31,18:44:00,HKD/RUB,9.9386,vk,2022-01-31
387,2022-01-31,18:44:00,JPY/RUB,0.67184,vk,2022-01-31
388,2022-01-31,18:44:00,TRY/RUB,5.7891,vk,2022-01-31
396,2022-01-31,18:44:00,USD/RUB,77.4905,vk,2022-01-31
399,2022-02-01,18:44:00,CAD/RUB,60.3644,vk,2022-02-01
400,2022-02-01,18:44:00,CHF/RUB,83.1015,vk,2022-02-01
401,2022-02-01,18:44:00,CNY/RUB,12.0516,vk,2022-02-01
402,2022-02-01,18:44:00,EUR/RUB,86.2413,vk,2022-02-01
403,2022-02-01,18:44:00,GBP/RUB,103.4871,vk,2022-02-01
404,2022-02-01,18:44:00,HKD/RUB,9.8354,vk,2022-02-01
406,2022-02-01,18:44:00,JPY/RUB,0.66759,vk,2022-02-01
407,2022-02-01,18:44:00,TRY/RUB,5.6966,vk,2022-02-01
415,2022-02-01,18:44:00,USD/RUB,76.6628,vk,2022-02-01
418,2022-02-02,18:44:00,CAD/RUB,60.1375,vk,2022-02-02
419,2022-02-02,18:44:00,CHF/RUB,83.0571,vk,2022-02-02
420,2022-02-02,18:44:00,CNY/RUB,11.9969,vk,2022-02-02
421,2022-02-02,18:44:00,EUR/RUB,86.2269,vk,2022-02-02
422,2022-02-02,18:44:00,GBP/RUB,103.5832,vk,2022-02-02
423,2022-02-02,18:44:00,HKD/RUB,9.7921,vk,2022-02-02
425,2022-02-02,18:44:00,JPY/RUB,0.66748,vk,2022-02-02
426,2022-02-02,18:44:00,TRY/RUB,5.6921,vk,2022-02-02
434,2022-02-02,18:44:00,USD/RUB,76.3145,vk,2022-02-02
437,2022-02-03,18:44:00,CAD/RUB,60.209,vk,2022-02-03
438,2022-02-03,18:44:00,CHF/RUB,83.1272,vk,2022-02-03
439,2022-02-03,18:44:00,CNY/RUB,12.0007,vk,2022-02-03
440,2022-02-03,18:44:00,EUR/RUB,87.1324,vk,2022-02-03
441,2022-02-03,18:44:00,GBP/RUB,103.8714,vk,2022-02-03
442,2022-02-03,18:44:00,HKD/RUB,9.7943,vk,2022-02-03
444,2022-02-03,18:44:00,JPY/RUB,0.6645,vk,2022-02-03
445,2022-02-03,18:44:00,TRY/RUB,5.6395,vk,2022-02-03
453,2022-02-03,18:44:00,USD/RUB,76.339,vk,2022-02-03
456,2022-02-04,18:44:00,CAD/RUB,59.5783,vk,2022-02-04
457,2022-02-04,18:44:00,CHF/RUB,82.3269,vk,2022-02-04
458,2022-02-04,18:44:00,CNY/RUB,11.9687,vk,2022-02-04
